module,folder,key,title,componentType,typeLabel,slotId,slotLabel,kind,valueKind,allowedFieldTypes,required,value,srcTitle,srcYardTag,notes
dhw,flow-control-valves,1064-03,Flowcontrol Dc,FlowControlValve,Flow control valve,controllerState.controller,Controller › controller,controllerState,,pidController,false,,,,
dhw,flow-control-valves,1064-03,Flowcontrol Dc,FlowControlValve,Flow control valve,custom.controller,Custom › controller,custom,controllerRef,,false,@controller:dcFlowController,,,
dhw,flow-control-valves,1064-08,Flowcontrol Drives,FlowControlValve,Flow control valve,source,Source,source,,sensor:valve,true,dhwFlowcontrolDrives,,,
dhw,flow-control-valves,1064-08,Flowcontrol Drives,FlowControlValve,Flow control valve,controls.valve,controls › valve,controls,,control:valve,true,dhwFlowcontrolDrives,,,
dhw,flow-control-valves,1064-08,Flowcontrol Drives,FlowControlValve,Flow control valve,sensors.measurement,sensors › measurement,sensors,,sensor:flow,false,,,,
dhw,flow-control-valves,1064-08,Flowcontrol Drives,FlowControlValve,Flow control valve,parameters.flow,parameters › flow,parameters,,parameter:tuning;parameter:flow,false,,,,
dhw,flow-control-valves,1064-08,Flowcontrol Drives,FlowControlValve,Flow control valve,controllerState.controller,Controller › controller,controllerState,,pidController,false,,,,
dhw,flow-control-valves,1064-08,Flowcontrol Drives,FlowControlValve,Flow control valve,custom.controller,Custom › controller,custom,controllerRef,,false,@controller:drivesFlowController,,,
dhw,flow-sensors,1057-17,Flow Dc,FlowSensor,FlowSensor,source,Source,source,,sensor:flow,true,dhwFlowDc,,,
dhw,flow-sensors,1057-17,Flow Dc,FlowSensor,FlowSensor,custom.controller,Custom › controller,custom,,,false,,,,
dhw,flow-sensors,1057-17,Flow Dc,FlowSensor,FlowSensor,controllerState.controller,Controller › controller,controllerState,,pidController,false,,,,
dhw,flow-sensors,1057-17,Flow Dc,FlowSensor,FlowSensor,controls.pump,controls › pump,controls,,control:pump,false,dhwPump,,,
dhw,flow-sensors,1057-17,Flow Dc,FlowSensor,FlowSensor,parameters.flow,parameters › flow,parameters,,parameter:flowcontrol;parameter:flow,false,dcFlowcontrolMinimumSetpoint,,,
dhw,flow-sensors,1057-17,Flow Dc,FlowSensor,FlowSensor,sensors.temperature,sensors › temperature,sensors,,sensor:temperature,false,dhwTemperatureFreshwaterSupply,,,
dhw,flow-sensors,1057-17,Flow Dc,FlowSensor,FlowSensor,sensors.measurement,sensors › measurement,sensors,,sensor:flow;sensor:temperature,false,,,,
dhw,flow-sensors,1057-24,Flow Drives,FlowSensor,FlowSensor,source,Source,source,,sensor:flow,true,dhwFlowDrives,,,
dhw,flow-sensors,1057-24,Flow Drives,FlowSensor,FlowSensor,custom.controller,Custom › controller,custom,,,false,,,,
