module,section,field,componentType,valveType,yardTag,technicalName,friendlyName
dhw,sensorValues,dhwFlowcontrolDrives,sensor:valve,flowcontrol,50001064-08,dhw-flowcontrol-drives,FlowcontrolDrives
dhw,sensorValues,dhwSwitchTank3Inlet,sensor:valve,switch,50001067-03,dhw-switch-tank3-inlet,SwitchTank3Inlet
dhw,sensorValues,dhwSwitchTank3BoostingReturn,sensor:valve,switch,50001067-04,dhw-switch-tank3-boosting-return,SwitchTank3BoostingReturn
dhw,sensorValues,dhwSwitchTank3Outlet,sensor:valve,switch,50001067-05,dhw-switch-tank3-outlet,SwitchTank3Outlet
dhw,sensorValues,dhwSwitchTank3BoostingSupply,sensor:valve,switch,50001067-06,dhw-switch-tank3-boosting-supply,SwitchTank3BoostingSupply
dhw,sensorValues,dhwSwitchTank2Inlet,sensor:valve,switch,50001067-07,dhw-switch-tank2-inlet,SwitchTank2Inlet
dhw,sensorValues,dhwSwitchTank2BoostingReturn,sensor:valve,switch,50001067-08,dhw-switch-tank2-boosting-return,SwitchTank2BoostingReturn
dhw,sensorValues,dhwSwitchTank2Outlet,sensor:valve,switch,50001067-09,dhw-switch-tank2-outlet,SwitchTank2Outlet
dhw,sensorValues,dhwSwitchTank2BoostingSupply,sensor:valve,switch,50001067-10,dhw-switch-tank2-boosting-supply,SwitchTank2BoostingSupply
dhw,sensorValues,dhwSwitchTank1Inlet,sensor:valve,switch,50001067-11,dhw-switch-tank1-inlet,SwitchTank1Inlet
dhw,sensorValues,dhwSwitchTank1BoostingReturn,sensor:valve,switch,50001067-12,dhw-switch-tank1-boosting-return,SwitchTank1BoostingReturn
dhw,sensorValues,dhwSwitchTank1Outlet,sensor:valve,switch,50001067-13,dhw-switch-tank1-outlet,SwitchTank1Outlet
dhw,sensorValues,dhwSwitchTank1BoostingSupply,sensor:valve,switch,50001067-14,dhw-switch-tank1-boosting-supply,SwitchTank1BoostingSupply
dhw,sensorValues,dhwSwitchLowTemperature,sensor:valve,switch,50001067-16,dhw-switch-low-temperature,SwitchLowTemperature
dhw,sensorValues,dhwSwitchHeatpump,sensor:valve,switch,50001067-17,dhw-switch-heatpump,SwitchHeatpump
dhw,sensorValues,dhwSwitchHighTemperature,sensor:valve,switch,50001067-18,dhw-switch-high-temperature,SwitchHighTemperature
dhw,sensorValues,dhwLevelSwitchTank1,sensor:levelSwitch,,50001098-01,dhw-level-switch-tank1,LevelSwitchTank1
dhw,sensorValues,dhwLevelSwitchTank2,sensor:levelSwitch,,50001098-02,dhw-level-switch-tank2,LevelSwitchTank2
dhw,sensorValues,dhwLevelSwitchTank3,sensor:levelSwitch,,50001098-03,dhw-level-switch-tank3,LevelSwitchTank3
dhw,sensorValues,dhwPressure,sensor:pressure,,50001097-11,dhw-pressure,Pressure
dhw,sensorValues,drivesFlowRecovery,sensor:flow,,50001058-03,drives-flow-recovery,DrivesFlowRecovery
dhw,sensorValues,drivesTemperatureRecovery,sensor:temperature,,50001038-16,drives-temperature-recovery,DrivesTemperatureRecovery
dhw,sensorValues,drivesTemperatureRecoveryReturn,sensor:temperature,,50001038-59,drives-temperature-recovery-return,DrivesTemperatureRecoveryReturn
dhw,sensorValues,dcFlowRecovery,sensor:flow,,50001058-04,dc-flow-recovery,DcFlowRecovery
dhw,sensorValues,dcTemperatureRecovery,sensor:temperature,,50001038-52,dc-temperature-recovery,DcTemperatureRecovery
dhw,sensorValues,dcTemperatureRecoveryReturn,sensor:temperature,,50001038-58,dc-temperature-recovery-return,DcTemperatureRecoveryReturn
dhw,sensorValues,consumersFlowDhw,sensor:flow,,50001058-07,consumers-flow-dhw,ConsumersFlowDhw
